;Unnamed: 0;Type;Sent;Hits;CTR;channel
151;151;12;154356;1566;1,01;FS
152;152;13;153822;1758;1,14;FS
153;153;14;154153;1653;1,07;FS
154;154;15;153172;1760;1,15;FS
155;155;16;154659;1628;1,05;FS
156;156;17;40917;380;0,93;FS
157;157;18;937;6;0,64;FS
158;158;19;52;0;0;FS
159;159;20;46547;340;0,73;FS
160;160;21;114088;988;0,87;FS
161;161;22;1133395;6136;0,54;FS
162;162;23;208207;2603;1,25;FS
163;163;24;787549;10612;1,35;FS
164;164;25;105777;536;0,51;FS
165;165;26;724774;9299;1,28;FS
166;166;27;4197159;29535;0,7;FS
167;167;28;0;0;0;FS
